I10 Dx	MDC	DRG(s)	ICD-10-CM Description
H65114	3	152-153	"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, right ear"
H65115	3	152-153	"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, left ear"
H65116	3	152-153	"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, bilateral"
H65117	3	152-153	"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, unspecified ear"
H65119	3	152-153	"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), unspecified ear"
H65191	3	152-153	"Other acute nonsuppurative otitis media, right ear"
H65192	3	152-153	"Other acute nonsuppurative otitis media, left ear"
H65193	3	152-153	"Other acute nonsuppurative otitis media, bilateral"
H65194	3	152-153	"Other acute nonsuppurative otitis media, recurrent, right ear"
H65195	3	152-153	"Other acute nonsuppurative otitis media, recurrent, left ear"
H65196	3	152-153	"Other acute nonsuppurative otitis media, recurrent, bilateral"
H65197	3	152-153	"Other acute nonsuppurative otitis media recurrent, unspecified ear"
H65199	3	152-153	"Other acute nonsuppurative otitis media, unspecified ear"
H6520	3	152-153	"Chronic serous otitis media, unspecified ear"
H6521	3	152-153	"Chronic serous otitis media, right ear"
H6522	3	152-153	"Chronic serous otitis media, left ear"
H6523	3	152-153	"Chronic serous otitis media, bilateral"
H6530	3	152-153	"Chronic mucoid otitis media, unspecified ear"
H6531	3	152-153	"Chronic mucoid otitis media, right ear"
H6532	3	152-153	"Chronic mucoid otitis media, left ear"
H6533	3	152-153	"Chronic mucoid otitis media, bilateral"
H65411	3	152-153	"Chronic allergic otitis media, right ear"
H65412	3	152-153	"Chronic allergic otitis media, left ear"
H65413	3	152-153	"Chronic allergic otitis media, bilateral"
H65419	3	152-153	"Chronic allergic otitis media, unspecified ear"
H65491	3	152-153	"Other chronic nonsuppurative otitis media, right ear"
H65492	3	152-153	"Other chronic nonsuppurative otitis media, left ear"
H65493	3	152-153	"Other chronic nonsuppurative otitis media, bilateral"
H65499	3	152-153	"Other chronic nonsuppurative otitis media, unspecified ear"
H6590	3	152-153	"Unspecified nonsuppurative otitis media, unspecified ear"
H6591	3	152-153	"Unspecified nonsuppurative otitis media, right ear"
H6592	3	152-153	"Unspecified nonsuppurative otitis media, left ear"
H6593	3	152-153	"Unspecified nonsuppurative otitis media, bilateral"
H66001	3	152-153	"Acute suppurative otitis media without spontaneous rupture of ear drum, right ear"
H66002	3	152-153	"Acute suppurative otitis media without spontaneous rupture of ear drum, left ear"
H66003	3	152-153	"Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral"
H66004	3	152-153	"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, right ear"
H66005	3	152-153	"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, left ear"
H66006	3	152-153	"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral"
H66007	3	152-153	"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, unspecified ear"
H66009	3	152-153	"Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear"
H66011	3	152-153	"Acute suppurative otitis media with spontaneous rupture of ear drum, right ear"
H66012	3	152-153	"Acute suppurative otitis media with spontaneous rupture of ear drum, left ear"
H66013	3	152-153	"Acute suppurative otitis media with spontaneous rupture of ear drum, bilateral"
H66014	3	152-153	"Acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, right ear"
H66015	3	152-153	"Acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, left ear"
H66016	3	152-153	"Acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, bilateral"
H66017	3	152-153	"Acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, unspecified ear"
H66019	3	152-153	"Acute suppurative otitis media with spontaneous rupture of ear drum, unspecified ear"
H6610	3	152-153	"Chronic tubotympanic suppurative otitis media, unspecified"
H6611	3	152-153	"Chronic tubotympanic suppurative otitis media, right ear"
H6612	3	152-153	"Chronic tubotympanic suppurative otitis media, left ear"
H6613	3	152-153	"Chronic tubotympanic suppurative otitis media, bilateral"
H6620	3	152-153	"Chronic atticoantral suppurative otitis media, unspecified ear"
H6621	3	152-153	"Chronic atticoantral suppurative otitis media, right ear"
H6622	3	152-153	"Chronic atticoantral suppurative otitis media, left ear"
H6623	3	152-153	"Chronic atticoantral suppurative otitis media, bilateral"
H663X1	3	152-153	"Other chronic suppurative otitis media, right ear"
H663X2	3	152-153	"Other chronic suppurative otitis media, left ear"
H663X3	3	152-153	"Other chronic suppurative otitis media, bilateral"
H663X9	3	152-153	"Other chronic suppurative otitis media, unspecified ear"
H6640	3	152-153	"Suppurative otitis media, unspecified, unspecified ear"
H6641	3	152-153	"Suppurative otitis media, unspecified, right ear"
H6642	3	152-153	"Suppurative otitis media, unspecified, left ear"
H6643	3	152-153	"Suppurative otitis media, unspecified, bilateral"
H6690	3	152-153	"Otitis media, unspecified, unspecified ear"
H6691	3	152-153	"Otitis media, unspecified, right ear"
H6692	3	152-153	"Otitis media, unspecified, left ear"
H6693	3	152-153	"Otitis media, unspecified, bilateral"
H671	3	152-153	"Otitis media in diseases classified elsewhere, right ear"
H672	3	152-153	"Otitis media in diseases classified elsewhere, left ear"
H673	3	152-153	"Otitis media in diseases classified elsewhere, bilateral"
H679	3	152-153	"Otitis media in diseases classified elsewhere, unspecified ear"
H68001	3	152-153	"Unspecified Eustachian salpingitis, right ear"
H68002	3	152-153	"Unspecified Eustachian salpingitis, left ear"
H68003	3	152-153	"Unspecified Eustachian salpingitis, bilateral"
H68009	3	152-153	"Unspecified Eustachian salpingitis, unspecified ear"
H68011	3	152-153	"Acute Eustachian salpingitis, right ear"
H68012	3	152-153	"Acute Eustachian salpingitis, left ear"
H68013	3	152-153	"Acute Eustachian salpingitis, bilateral"
H68019	3	152-153	"Acute Eustachian salpingitis, unspecified ear"
H68021	3	152-153	"Chronic Eustachian salpingitis, right ear"
H68022	3	152-153	"Chronic Eustachian salpingitis, left ear"
H68023	3	152-153	"Chronic Eustachian salpingitis, bilateral"
H68029	3	152-153	"Chronic Eustachian salpingitis, unspecified ear"
H68101	3	154-156	"Unspecified obstruction of Eustachian tube, right ear"
H68102	3	154-156	"Unspecified obstruction of Eustachian tube, left ear"
H68103	3	154-156	"Unspecified obstruction of Eustachian tube, bilateral"
H68109	3	154-156	"Unspecified obstruction of Eustachian tube, unspecified ear"
H68111	3	154-156	"Osseous obstruction of Eustachian tube, right ear"
H68112	3	154-156	"Osseous obstruction of Eustachian tube, left ear"
H68113	3	154-156	"Osseous obstruction of Eustachian tube, bilateral"
H68119	3	154-156	"Osseous obstruction of Eustachian tube, unspecified ear"
H68121	3	154-156	"Intrinsic cartilagenous obstruction of Eustachian tube, right ear"
H68122	3	154-156	"Intrinsic cartilagenous obstruction of Eustachian tube, left ear"
H68123	3	154-156	"Intrinsic cartilagenous obstruction of Eustachian tube, bilateral"
H68129	3	154-156	"Intrinsic cartilagenous obstruction of Eustachian tube, unspecified ear"
H68131	3	154-156	"Extrinsic cartilagenous obstruction of Eustachian tube, right ear"
H68132	3	154-156	"Extrinsic cartilagenous obstruction of Eustachian tube, left ear"
H68133	3	154-156	"Extrinsic cartilagenous obstruction of Eustachian tube, bilateral"
H68139	3	154-156	"Extrinsic cartilagenous obstruction of Eustachian tube, unspecified ear"
H6900	3	154-156	"Patulous Eustachian tube, unspecified ear"
H6901	3	154-156	"Patulous Eustachian tube, right ear"
H6902	3	154-156	"Patulous Eustachian tube, left ear"
H6903	3	154-156	"Patulous Eustachian tube, bilateral"
H6980	3	154-156	"Other specified disorders of Eustachian tube, unspecified ear"
H6981	3	154-156	"Other specified disorders of Eustachian tube, right ear"
H6982	3	154-156	"Other specified disorders of Eustachian tube, left ear"
H6983	3	154-156	"Other specified disorders of Eustachian tube, bilateral"
H6990	3	154-156	"Unspecified Eustachian tube disorder, unspecified ear"
H6991	3	154-156	"Unspecified Eustachian tube disorder, right ear"
H6992	3	154-156	"Unspecified Eustachian tube disorder, left ear"
H6993	3	154-156	"Unspecified Eustachian tube disorder, bilateral"
H70001	3	152-153	"Acute mastoiditis without complications, right ear"
H70002	3	152-153	"Acute mastoiditis without complications, left ear"
H70003	3	152-153	"Acute mastoiditis without complications, bilateral"
H70009	3	152-153	"Acute mastoiditis without complications, unspecified ear"
H70011	3	152-153	"Subperiosteal abscess of mastoid, right ear"
	15	793	
H70012	3	152-153	"Subperiosteal abscess of mastoid, left ear"
	15	793	
H70013	3	152-153	"Subperiosteal abscess of mastoid, bilateral"
	15	793	
H70019	3	152-153	"Subperiosteal abscess of mastoid, unspecified ear"
	15	793	
H70091	3	152-153	"Acute mastoiditis with other complications, right ear"
H70092	3	152-153	"Acute mastoiditis with other complications, left ear"
H70093	3	152-153	"Acute mastoiditis with other complications, bilateral"
H70099	3	152-153	"Acute mastoiditis with other complications, unspecified ear"
H7010	3	152-153	"Chronic mastoiditis, unspecified ear"
H7011	3	152-153	"Chronic mastoiditis, right ear"
H7012	3	152-153	"Chronic mastoiditis, left ear"
H7013	3	152-153	"Chronic mastoiditis, bilateral"
H70201	3	152-153	"Unspecified petrositis, right ear"
H70202	3	152-153	"Unspecified petrositis, left ear"
H70203	3	152-153	"Unspecified petrositis, bilateral"
H70209	3	152-153	"Unspecified petrositis, unspecified ear"
H70211	3	152-153	"Acute petrositis, right ear"
H70212	3	152-153	"Acute petrositis, left ear"
H70213	3	152-153	"Acute petrositis, bilateral"
H70219	3	152-153	"Acute petrositis, unspecified ear"
H70221	3	152-153	"Chronic petrositis, right ear"
H70222	3	152-153	"Chronic petrositis, left ear"
H70223	3	152-153	"Chronic petrositis, bilateral"
H70229	3	152-153	"Chronic petrositis, unspecified ear"
H70811	3	154-156	"Postauricular fistula, right ear"
	15	793	
H70812	3	154-156	"Postauricular fistula, left ear"
	15	793	
H70813	3	154-156	"Postauricular fistula, bilateral"
	15	793	
H70819	3	154-156	"Postauricular fistula, unspecified ear"
	15	793	
H70891	3	154-156	"Other mastoiditis and related conditions, right ear"
H70892	3	154-156	"Other mastoiditis and related conditions, left ear"
H70893	3	154-156	"Other mastoiditis and related conditions, bilateral"
H70899	3	154-156	"Other mastoiditis and related conditions, unspecified ear"
H7090	3	152-153	"Unspecified mastoiditis, unspecified ear"
H7091	3	152-153	"Unspecified mastoiditis, right ear"
H7092	3	152-153	"Unspecified mastoiditis, left ear"
H7093	3	152-153	"Unspecified mastoiditis, bilateral"
H7100	3	154-156	"Cholesteatoma of attic, unspecified ear"
H7101	3	154-156	"Cholesteatoma of attic, right ear"
H7102	3	154-156	"Cholesteatoma of attic, left ear"
H7103	3	154-156	"Cholesteatoma of attic, bilateral"
H7110	3	154-156	"Cholesteatoma of tympanum, unspecified ear"
H7111	3	154-156	"Cholesteatoma of tympanum, right ear"
H7112	3	154-156	"Cholesteatoma of tympanum, left ear"
H7113	3	154-156	"Cholesteatoma of tympanum, bilateral"
H7120	3	154-156	"Cholesteatoma of mastoid, unspecified ear"
H7121	3	154-156	"Cholesteatoma of mastoid, right ear"
H7122	3	154-156	"Cholesteatoma of mastoid, left ear"
H7123	3	154-156	"Cholesteatoma of mastoid, bilateral"
H7130	3	154-156	"Diffuse cholesteatosis, unspecified ear"
H7131	3	154-156	"Diffuse cholesteatosis, right ear"
H7132	3	154-156	"Diffuse cholesteatosis, left ear"
H7133	3	154-156	"Diffuse cholesteatosis, bilateral"
H7190	3	154-156	"Unspecified cholesteatoma, unspecified ear"
H7191	3	154-156	"Unspecified cholesteatoma, right ear"
H7192	3	154-156	"Unspecified cholesteatoma, left ear"
H7193	3	154-156	"Unspecified cholesteatoma, bilateral"
H7200	3	154-156	"Central perforation of tympanic membrane, unspecified ear"
H7201	3	154-156	"Central perforation of tympanic membrane, right ear"
H7202	3	154-156	"Central perforation of tympanic membrane, left ear"
H7203	3	154-156	"Central perforation of tympanic membrane, bilateral"
H7210	3	154-156	"Attic perforation of tympanic membrane, unspecified ear"
H7211	3	154-156	"Attic perforation of tympanic membrane, right ear"
H7212	3	154-156	"Attic perforation of tympanic membrane, left ear"
H7213	3	154-156	"Attic perforation of tympanic membrane, bilateral"
H722X1	3	154-156	"Other marginal perforations of tympanic membrane, right ear"
H722X2	3	154-156	"Other marginal perforations of tympanic membrane, left ear"
H722X3	3	154-156	"Other marginal perforations of tympanic membrane, bilateral"
H722X9	3	154-156	"Other marginal perforations of tympanic membrane, unspecified ear"
H72811	3	154-156	"Multiple perforations of tympanic membrane, right ear"
H72812	3	154-156	"Multiple perforations of tympanic membrane, left ear"
H72813	3	154-156	"Multiple perforations of tympanic membrane, bilateral"
H72819	3	154-156	"Multiple perforations of tympanic membrane, unspecified ear"
H72821	3	154-156	"Total perforations of tympanic membrane, right ear"
H72822	3	154-156	"Total perforations of tympanic membrane, left ear"
H72823	3	154-156	"Total perforations of tympanic membrane, bilateral"
H72829	3	154-156	"Total perforations of tympanic membrane, unspecified ear"
H7290	3	154-156	"Unspecified perforation of tympanic membrane, unspecified ear"
H7291	3	154-156	"Unspecified perforation of tympanic membrane, right ear"
H7292	3	154-156	"Unspecified perforation of tympanic membrane, left ear"
H7293	3	154-156	"Unspecified perforation of tympanic membrane, bilateral"
H73001	3	152-153	"Acute myringitis, right ear"
H73002	3	152-153	"Acute myringitis, left ear"
H73003	3	152-153	"Acute myringitis, bilateral"
H73009	3	152-153	"Acute myringitis, unspecified ear"
H73011	3	152-153	"Bullous myringitis, right ear"
H73012	3	152-153	"Bullous myringitis, left ear"
H73013	3	152-153	"Bullous myringitis, bilateral"
H73019	3	152-153	"Bullous myringitis, unspecified ear"
H73091	3	152-153	"Other acute myringitis, right ear"
H73092	3	152-153	"Other acute myringitis, left ear"
H73093	3	152-153	"Other acute myringitis, bilateral"
H73099	3	152-153	"Other acute myringitis, unspecified ear"
H7310	3	152-153	"Chronic myringitis, unspecified ear"
H7311	3	152-153	"Chronic myringitis, right ear"
H7312	3	152-153	"Chronic myringitis, left ear"
H7313	3	152-153	"Chronic myringitis, bilateral"
H7320	3	152-153	"Unspecified myringitis, unspecified ear"
H7321	3	152-153	"Unspecified myringitis, right ear"
H7322	3	152-153	"Unspecified myringitis, left ear"
H7323	3	152-153	"Unspecified myringitis, bilateral"
